Vehicle Type,Pickup Location,Drop Location,Ride Distance
eBike,Palam Vihar,Jhilmil,5.73
Go Sedan,Shastri Nagar,Gurgaon Sector 56,5.73
Auto,Khandsa,Malviya Nagar,13.58
Premier Sedan,Central Secretariat,Inderlok,34.02
Bike,Ghitorni Village,Khan Market,48.21
Auto,AIIMS,Narsinghpur,4.85
Go Mini,Vaishali,Punjabi Bagh,41.24
Auto,Mayur Vihar,Cyber Hub,6.56
Go Sedan,Noida Sector 62,Noida Sector 18,5.73
Auto,Rohini,Adarsh Nagar,10.36
Auto,Udyog Bhawan,Dwarka Sector 21,19.84
Auto,Vidhan Sabha,AIIMS,41.24
eBike,Patel Chowk,Kherki Daula Toll,41.24
Go Mini,Malviya Nagar,Ghitorni Village,21.44
Go Mini,Madipur,GTB Nagar,39.55
Auto,Jama Masjid,Khan Market,34.76
Premier Sedan,IGI Airport,Madipur,21.97
Go Sedan,Vinobapuri,GTB Nagar,null
eBike,Kashmere Gate,Anand Vihar,41.24
eBike,Pitampura,Rajiv Nagar,null
Go Sedan,Punjabi Bagh,Mansarovar Park,13.64
Auto,Greater Noida,Botanical Garden,4.5
Go Mini,Tis Hazari,IMT Manesar,38.03
Go Mini,Noida Sector 18,Old Gurgaon,14.53
Auto,Kanhaiya Nagar,Anand Vihar,7.39
Uber XL,Okhla,Barakhamba Road,10.23
Auto,Cyber Hub,Saket,null
Premier Sedan,Sadar Bazar Gurgaon,Mehrauli,41.24
Bike,Shastri Park,Botanical Garden,1.98
Auto,Faridabad Sector 15,Malviya Nagar,39.21
Go Mini,Qutub Minar,Vishwavidyalaya,null
Go Mini,Mundka,Preet Vihar,8.36
Premier Sedan,DLF City Court,Nehru Place,6.39
Auto,Tis Hazari,Shahdara,46.66
Go Sedan,New Colony,Ghitorni Village,null
Go Sedan,Nirman Vihar,Malviya Nagar,27.07
Auto,New Delhi Railway Station,Noida Film City,12.16
Premier Sedan,Civil Lines Gurgaon,Mandi House,10.28
eBike,Seelampur,Janakpuri,44.42
Bike,Noida Extension,Udyog Vihar Phase 4,null
Auto,Adarsh Nagar,Civil Lines Gurgaon,null
Auto,Vinobapuri,Karkarduma,34.64
Premier Sedan,Panipat,Tagore Garden,18.3
Auto,Karol Bagh,Tagore Garden,null
Go Sedan,Sultanpur,Noida Extension,20.91
Go Mini,Moti Nagar,Anand Vihar ISBT,null
Auto,Shastri Park,Anand Vihar ISBT,null
Bike,Dilshad Garden,Nehru Place,19.24
Go Sedan,Dilshad Garden,Nehru Place,8.13
Auto,Aya Nagar,Karkarduma,2.96
Go Mini,Rajiv Chowk,Central Secretariat,1.82
Go Mini,MG Road,Hauz Rani,33.04
Go Mini,Jasola,Palam Vihar,44.7
Go Mini,Kashmere Gate,RK Puram,7.38
Go Sedan,Ardee City,Basai Dhankot,null
Go Mini,Punjabi Bagh,Madipur,24.93
Auto,Meerut,Badarpur,null
Uber XL,Anand Vihar ISBT,Dwarka Sector 21,null
Premier Sedan,Mayur Vihar,Palam Vihar,25.16
Premier Sedan,Lajpat Nagar,Ramesh Nagar,null
Premier Sedan,Tughlakabad,Akshardham,48.85
Auto,Cyber Hub,Yamuna Bank,24.41
Auto,Karkarduma,IGI Airport,null
Go Sedan,Shastri Nagar,New Colony,null
Auto,Aya Nagar,Green Park,13.85
Premier Sedan,Dwarka Mor,ITO,null
Premier Sedan,Adarsh Nagar,Noida Extension,null
eBike,Vidhan Sabha,Mehrauli,3.71
Auto,Anand Vihar,Saket,32.98
Go Mini,Uttam Nagar,New Delhi Railway Station,11.2
Go Sedan,Model Town,Mundka,45.4
Auto,Mandi House,India Gate,null
eBike,Ghitorni,Pitampura,28.78
Go Mini,Ghitorni Village,Palam Vihar,2.81
Bike,Okhla,Netaji Subhash Place,17.34
Auto,DLF City Court,Udyog Vihar Phase 4,9.38
Go Sedan,Rajiv Nagar,Ramesh Nagar,11.9
Premier Sedan,Sohna Road,New Delhi Railway Station,35.66
Go Sedan,Sadar Bazar Gurgaon,Indraprastha,null
Premier Sedan,Anand Vihar ISBT,Rohini,null
Premier Sedan,Lajpat Nagar,Chirag Delhi,21.79
Premier Sedan,Bahadurgarh,Pataudi Chowk,null
Bike,Moolchand,Karol Bagh,7.86
Auto,Uttam Nagar,Vaishali,18.04
Auto,INA Market,IFFCO Chowk,15.18
Bike,Sushant Lok,Noida Sector 62,null
Bike,IIT Delhi,Mansarovar Park,13.38
Go Sedan,Satguru Ram Singh Marg,Punjabi Bagh,11.81
Go Mini,Adarsh Nagar,Gwal Pahari,null
Premier Sedan,Munirka,Saidulajab,30.9
eBike,New Colony,Jasola,14.91
Auto,IGNOU Road,Tis Hazari,44.25
eBike,Meerut,Udyog Bhawan,45.46
Go Mini,Punjabi Bagh,Saket A Block,2.91
Go Mini,Akshardham,Mayur Vihar,37.57
eBike,Chhatarpur,Gurgaon Sector 29,null
Go Sedan,IMT Manesar,Ashram,40.18
Uber XL,Madipur,DLF City Court,null
Go Sedan,Azadpur,Khan Market,20.22
Premier Sedan,Chhatarpur,Badshahpur,null
Go Mini,Cyber Hub,Old Gurgaon,44.76
Bike,Jhilmil,DLF Phase 3,null
eBike,Sikanderpur,Greater Noida,43.34
Bike,Mayur Vihar,IGNOU Road,5.97
Bike,Rohini West,Yamuna Bank,27.96
Go Mini,Mandi House,Bahadurgarh,21.19
Auto,Azadpur,Hauz Rani,null
Go Sedan,Aya Nagar,Chandni Chowk,47.63
Auto,Shastri Nagar,Saket A Block,24.4
Go Mini,Vinobapuri,Shastri Park,7.49
Bike,Rohini West,Yamuna Bank,24.44
Auto,Kashmere Gate ISBT,New Colony,9.2
Go Sedan,Rohini,Botanical Garden,28.09
Uber XL,Kherki Daula Toll,Nawada,3.37
Bike,IFFCO Chowk,Dilshad Garden,null
Go Mini,Hauz Rani,Kaushambi,null
Auto,Dilshad Garden,Qutub Minar,null
Bike,Faridabad Sector 15,Vinobapuri,40.1
Auto,Sarai Kale Khan,Central Secretariat,null
Go Mini,Vishwavidyalaya,MG Road,null
Premier Sedan,Malviya Nagar,Chanakyapuri,42.5
eBike,Mayur Vihar,Vidhan Sabha,null
Go Sedan,Vaishali,Tilak Nagar,41.42
Auto,Kashmere Gate ISBT,Laxmi Nagar,17.52
Auto,Maidan Garhi,Panchsheel Park,31.69
Auto,Yamuna Bank,Nirman Vihar,33.74
Go Sedan,Khan Market,Central Secretariat,36.82
Go Sedan,Pragati Maidan,Jama Masjid,38.75
Go Mini,Mansarovar Park,Rohini,17.07
Auto,Rithala,Aya Nagar,19.18
Go Sedan,Shastri Park,Indraprastha,23.93
Auto,Cyber Hub,Udyog Bhawan,29.09
Auto,Jhilmil,Vidhan Sabha,null
eBike,Saidulajab,Hauz Khas,27.55
Premier Sedan,Tughlakabad,Meerut,14
eBike,Kashmere Gate,Karkarduma,47.3
eBike,Madipur,Saket,null
Auto,Shastri Park,Barakhamba Road,14.59
Auto,Nawada,Jahangirpuri,null
Auto,Shahdara,Bhiwadi,8.68
Auto,Tilak Nagar,Azadpur,34.14
Auto,DLF Phase 3,Udyog Vihar Phase 4,31.79
Bike,Laxmi Nagar,Sohna Road,25.01
Go Mini,Huda City Centre,Akshardham,17.56
Bike,Shastri Nagar,Shivaji Park,null
Go Mini,Uttam Nagar,Greater Kailash,48.96
Go Mini,Mehrauli,Nawada,32.91
Go Mini,Mansarovar Park,Manesar,null
Bike,Lajpat Nagar,Okhla,45.7
Go Sedan,Patel Chowk,Nirman Vihar,null
Go Mini,Botanical Garden,Azadpur,38.32
Auto,Bahadurgarh,Pragati Maidan,null
Auto,Karol Bagh,Palam Vihar,9.1
eBike,Azadpur,Raj Nagar Extension,null
Premier Sedan,Ramesh Nagar,Greater Kailash,49.26
Go Mini,Malviya Nagar,Lajpat Nagar,null
Bike,Dwarka Sector 21,Malviya Nagar,null
Bike,Noida Film City,Keshav Puram,null
Go Sedan,Nirman Vihar,Satguru Ram Singh Marg,8.21
Go Mini,Pragati Maidan,Faridabad Sector 15,16.09
Auto,Tughlakabad,Ramesh Nagar,11.94
Go Sedan,India Gate,Kashmere Gate,8.23
Premier Sedan,Maidan Garhi,Samaypur Badli,49.5
Premier Sedan,Barakhamba Road,Noida Film City,37.37
Uber XL,Kashmere Gate,Jor Bagh,35.38
Bike,Barakhamba Road,DLF City Court,34.81
