Pickup Location,Drop Location,Ride Distance
Palam Vihar,Jhilmil,5.73
Shastri Nagar,Gurgaon Sector 56,5.73
Khandsa,Malviya Nagar,13.58
Central Secretariat,Inderlok,34.02
Ghitorni Village,Khan Market,48.21
AIIMS,Narsinghpur,4.85
Vaishali,Punjabi Bagh,41.24
Mayur Vihar,Cyber Hub,6.56
Noida Sector 62,Noida Sector 18,5.73
Rohini,Adarsh Nagar,10.36
Udyog Bhawan,Dwarka Sector 21,19.84
Vidhan Sabha,AIIMS,41.24
Patel Chowk,Kherki Daula Toll,41.24
Malviya Nagar,Ghitorni Village,21.44
Madipur,GTB Nagar,39.55
Jama Masjid,Khan Market,34.76
IGI Airport,Madipur,21.97
Vinobapuri,GTB Nagar,null
Kashmere Gate,Anand Vihar,41.24
Pitampura,Rajiv Nagar,null
Punjabi Bagh,Mansarovar Park,13.64
Greater Noida,Botanical Garden,4.5
Tis Hazari,IMT Manesar,38.03
Noida Sector 18,Old Gurgaon,14.53
Kanhaiya Nagar,Anand Vihar,7.39
Okhla,Barakhamba Road,10.23
Cyber Hub,Saket,null
Sadar Bazar Gurgaon,Mehrauli,41.24
Shastri Park,Botanical Garden,1.98
Faridabad Sector 15,Malviya Nagar,39.21
Qutub Minar,Vishwavidyalaya,null
Mundka,Preet Vihar,8.36
DLF City Court,Nehru Place,6.39
Tis Hazari,Shahdara,46.66
New Colony,Ghitorni Village,null
Nirman Vihar,Malviya Nagar,27.07
New Delhi Railway Station,Noida Film City,12.16
Civil Lines Gurgaon,Mandi House,10.28
Seelampur,Janakpuri,44.42
Noida Extension,Udyog Vihar Phase 4,null
Adarsh Nagar,Civil Lines Gurgaon,null
Vinobapuri,Karkarduma,34.64
Panipat,Tagore Garden,18.3
Karol Bagh,Tagore Garden,null
Sultanpur,Noida Extension,20.91
Moti Nagar,Anand Vihar ISBT,null
Shastri Park,Anand Vihar ISBT,null
Dilshad Garden,Nehru Place,19.24
Dilshad Garden,Nehru Place,8.13
Aya Nagar,Karkarduma,2.96
Rajiv Chowk,Central Secretariat,1.82
MG Road,Hauz Rani,33.04
Jasola,Palam Vihar,44.7
Kashmere Gate,RK Puram,7.38
Ardee City,Basai Dhankot,null
Punjabi Bagh,Madipur,24.93
Meerut,Badarpur,null
Anand Vihar ISBT,Dwarka Sector 21,null
Mayur Vihar,Palam Vihar,25.16
Lajpat Nagar,Ramesh Nagar,null
Tughlakabad,Akshardham,48.85
Cyber Hub,Yamuna Bank,24.41
Karkarduma,IGI Airport,null
Shastri Nagar,New Colony,null
Aya Nagar,Green Park,13.85
Dwarka Mor,ITO,null
Adarsh Nagar,Noida Extension,null
Vidhan Sabha,Mehrauli,3.71
Anand Vihar,Saket,32.98
Uttam Nagar,New Delhi Railway Station,11.2
Model Town,Mundka,45.4
Mandi House,India Gate,null
Ghitorni,Pitampura,28.78
Ghitorni Village,Palam Vihar,2.81
Okhla,Netaji Subhash Place,17.34
DLF City Court,Udyog Vihar Phase 4,9.38
Rajiv Nagar,Ramesh Nagar,11.9
Sohna Road,New Delhi Railway Station,35.66
Sadar Bazar Gurgaon,Indraprastha,null
Anand Vihar ISBT,Rohini,null
Lajpat Nagar,Chirag Delhi,21.79
Bahadurgarh,Pataudi Chowk,null
Moolchand,Karol Bagh,7.86
Uttam Nagar,Vaishali,18.04
INA Market,IFFCO Chowk,15.18
Sushant Lok,Noida Sector 62,null
IIT Delhi,Mansarovar Park,13.38
Satguru Ram Singh Marg,Punjabi Bagh,11.81
Adarsh Nagar,Gwal Pahari,null
Munirka,Saidulajab,30.9
New Colony,Jasola,14.91
IGNOU Road,Tis Hazari,44.25
